ensemble_orig,zdb_id,ensembl,ncbi_id
ENSDARG00000063097,ZDB-GENE-050302-78,ENSDARG00000063097,797832
ENSDARG00000091833,ZDB-GENE-000607-80,ENSDARG00000091833,570651
ENSDARG00000042525,ZDB-GENE-990715-11,ENSDARG00000042525,30692
ENSDARG00000110230,undef,ENSDARG00000110230,undef
ENSDARG00000013292,ZDB-GENE-040808-25,ENSDARG00000013292,445310
ENSDARG00000089888,ZDB-GENE-070619-2,ENSDARG00000089888,565287
ENSDARG00000056165,ZDB-GENE-030131-5518,ENSDARG00000056165,565228
ENSDARG00000093448,ZDB-GENE-040718-94,ENSDARG00000093448,436671
ENSDARG00000094074,ZDB-GENE-060503-931,ENSDARG00000094074,100034657
ENSDARG00000115894,ZDB-GENE-080722-43,ENSDARG00000115894,100170839
ENSDARG00000042940,ZDB-GENE-050208-574,ENSDARG00000042940,565795
ENSDARG00000092553,ZDB-GENE-020419-9,ENSDARG00000092553,192321
ENSDARG00000020656,ZDB-GENE-040426-1308,ENSDARG00000020656,394005
ENSDARG00000014591,ZDB-GENE-040426-2345,ENSDARG00000014591,406517
ENSDARG00000012871,ZDB-GENE-050417-177,ENSDARG00000012871,550383
ENSDARG00000102212,ZDB-GENE-081103-43,ENSDARG00000099825,undef
ENSDARG00000069157,ZDB-GENE-070424-70,ENSDARG00000069157,568244
ENSDARG00000090699,ZDB-GENE-081015-5,ENSDARG00000090699,undef
ENSDARG00000095170,ZDB-GENE-050208-324,ENSDARG00000095170,100321881
ENSDARG00000061660,undef,ENSDARG00000061660,undef
ENSDARG00000044485,ZDB-GENE-060328-2,ENSDARG00000044485,572527
ENSDARG00000055383,ZDB-GENE-030131-5510,ENSDARG00000055383,327299
ENSDARG00000076393,ZDB-GENE-081022-99,ENSDARG00000076393,100005403
ENSDARG00000104901,ZDB-GENE-040426-1079,ENSDARG00000104901,393239
ENSDARG00000062267,ZDB-GENE-101007-4,ENSDARG00000062267,326643
ENSDARG00000074170,ZDB-GENE-081104-415,ENSDARG00000074170,100319387
ENSDARG00000077691,ZDB-GENE-030131-4628,ENSDARG00000077691,503788
ENSDARG00000089981,ZDB-GENE-030131-5997,ENSDARG00000089981,334065
ENSDARG00000059854,undef,ENSDARG00000059854,undef
